序号,类型,名称,名称英文,名称（卢恩文）,协语,价值,唱文,主神,主神（拉丁字母）,箴言
26,族群,慰藉,Console,[ᚺᚢᚷᚨᚾᛞᛁ],喜出望外,12,击鼓燃叶唤先灵，低语解哀戚,胡甘狄,Huggandi,胡甘狄的姐妹关注您的命运。她漫游东方，造访每一个庞大的家族，只要他们和睦，她便给他们带来繁荣。按照她的观点，您的帮手总是不嫌多的，您今天也能再多遇到一位。她也请您留意甘甜的事物。
27,族群,告解,Confess,[ᛃᚨᛏᚨᚱ],睹物思人,16,独见古木诉悔恨，恳请相宽恕,尤珥塔,Jatar,尤珥塔的姐妹关注您的命运。她赶回极南，为的是再见往日的朋友一面，朋友正需要着她，而她总是应答。她行色匆匆，但没有忘记提醒您，旧的总是比新的好。她也请您留意古老的事物。
28,族群,呼救,Cry,[ᚺᛚᚨᚲᚨ],峰回路转,12,凄厉号声震天响，孤木成众林。,海菈嘉,Hlakka,海菈嘉的姐妹关注您的命运。她停驻门前，聆听着门后无声的狂啸。幸而这门没有把手，也足够结实，使它不会被声音的力量压倒。她也请您留意旋转的事物。
29,自然,喜悦,Delight,[ᚺᛖᛁᛚᛁᚱ],乐观主义 ,8,彩虹瓮中月影里，所愿纷然至,海丽儿,Heillir,海丽儿的姐妹关注您的命运。她来自东方，是被呼唤最多的一位姐妹，往往难以停歇片刻，这是因为她代表着健康的祝福。她愿意向您保证，您也是健康的。她也请您留意以“7”结尾的数字。
30,自然,惊讶,Surprise,[ᛟᚠᚨᚱᛏᚨ],开源节流,8,生疏人地获馈赠，踌躇再相认,欧珐妲,Ovarta,欧珐妲的姐妹关注您的命运。她飞往极东，保存下路上遇到的每次灵光一闪，以免它们遭受到被遗忘这一不公义的惩罚。她快乐地说，她已经在您的命运中看到了许多值得保存的东西。她也请您留意以“6”结尾的数字。
31,自然,愤怒,Rage,[ᚠᚱᛖᛁᚦᚨᚱ],当头棒喝,8,冰碎石裂掷锤去，林羽不敢啼,芙芮妲,Vreidar,芙芮妲的姐妹关注您的命运。她凝视北方，“毁灭来过，”她说，“羽兽不再鸣唱。”她为失去的东西而垂泪，如天顶上的瓦鲁希塔曾做的一般。她摇摇头，表示您的命运她已不能解读。她也请您留意失去的事物。
32,自然,疑惑,Doubt,[ᚱᛁᛜᛚᚨᚦᚨᚱ],逍遥自然,12,径道错综归何处，问树树不知,林嘉妲,Ringladar,林嘉妲的姐妹关注您的命运。她逡巡迷茫：她是谁？她在哪儿？她自何所来？又往何处去？她永远在寻找同伴，并暗暗希望您是这样的一位同伴。她也请您留意背后的事物。
33,自然,憧憬,Anticipate,[ᛚᚨᚾᚷᚨᚾᛁᚱ],好事成双,12,神魂游荡生梦处，一瞥风雪中,兰嘉妮,Langanir,兰嘉妮的姐妹关注您的命运。她踱步东南，让每个能做梦的人都做个好梦，这是她的梦想。在她看来，您梦见的东西对您的命运大有裨益。她也请您留意多彩的事物。
34,自然,爱恋,Love,[ᚨᛊᛏᚨᚱ],得偿所愿,16,茫茫冻土身相随，有心炽如火,阿斯塔,Astar,阿斯塔的姐妹关注您的命运。她卧于南方，用无边的耐心抑制着自己无底的激情。她欣赏自控，贬斥放纵。她告诉您，遵循命运并非是随波逐流。她也请您留意以“2”结尾的数字。
35,自然,满足,Satisfy,[ᚾᛟᚷᚺᛟᚨ],立竿见影,12,食粮满篮水满罐，今生复何求。,挪依娅,Noghia,挪依娅的姐妹关注您的命运。她闲卧山腰，一边观赏着远方山岳摇撼的壮丽，一边往嘴里送入剔透玲珑的水果。她也请您留意溢出的事物。
36,灵魂,巡视,Patrol,[ᛊᛟᚲᚾᚨᚱᚠᛖᚱᚦ],明察秋毫,8,昼登树梢暮瞭望，执火守族士,娑娜斐,Soknarferd,娑娜斐的姐妹关注您的命运。她停驻西北，让结伴的人通过，而留下形单影只的人。在她眼里，人和人的命运总要交织，您今天也会有一场相遇。她也请您留意红色的事物。
37,灵魂,筑巢,Nest,[ᚺᚱᛖᛁᚦᚱ],根深蒂固,8,拣木拾枝寻荫庇，檐下无寒风,芮瑟尔,Hreidr,芮瑟尔的姐妹关注您的命运。她回望西南，但为了以身作则，还是坚定地向前方迈出脚步。她向您呼喊，告诉您离巢是每个人都将肩负的责任，也即是命运。她也请您留意写下的事物。
38,灵魂,捕猎,Hunt,[ᚹᛖᚦᚨᚾᛞᛁ],柳暗花明,8,尖牙利爪伺时机，危途知胆识,维丹狄,Veidandi,维丹狄的姐妹关注您的命运。她向南回返，“艾丽芙拉·薇蒂没有要转告的消息，”她说道，“至少眼下如此。”她说，万物的规律并非不容有变，但它今日选择不做变化。她也请您留意尖锐的事物。
39,灵魂,掠夺,Plunder,[ᚺᛖᚱᚠᚨᚾᚷ],不忘初心,12,巧取豪夺行不义，偿还有定时,赫尔芳,Herfang,赫尔芳的姐妹关注您的命运。她戍据雄关，以无情的铁链维持着纪律和安全，没有这些，也就没有“索阿特维亚卡”，没有“军团”。她敬告您，命运的多变并不能战胜铁的意志。她也请您留意以“0”结尾的数字。
40,灵魂,繁衍,Reproduce,[ᛇᚲᛊᛚᚢᚾ],心明眼亮,12,草木兽羽有枯荣，祈愿久延存,埃克纶,Aexlun,埃克纶的姐妹关注您的命运。她巡回全土，钟爱那些有缺憾的，驳斥那些掩盖缺憾的。在她的看法里，缺憾代表着完成的可能性，您的命运中无疑也有着这种可能性。她也请您留意以“4”结尾的数字。
41,灵魂,迁徙,Migrate,[ᚠᛚᛁᛏᛃᚨᚾᛞᛁ],上下求索,16,拂雪穿林离族树，眷恋更难行,芙莉芊,Flytjandi,芙莉芊的姐妹关注您的命运。她停步休息，并且劝导自己的同伴也如此做——她从不焦急，因为合理的休息永远是顺利工作的前提。她对您露出关心的神色，终于欲言又止，您休息得充分吗？她也请您留意提神的事物。
42,灵魂,歇息,Respite,[ᚺᚹᛁᛚᚨ],静则神明,12,合眼匍匐入梦乡，暂离此间事。,赫薇菈,Hvila,赫薇菈的姐妹关注您的命运。她穿行沙洲，眼中不断映入崭新的色彩，如红与黑，似绿与黄。然而，这终究不是歇息的地方。她也请您留意未了的事物。
43,世相,空无,Void,[ᛖᚾᚷᛁᚾᚨ],无,0,所为所作消散人世，所思所忧归向虚空,恩姬娜,Enginna,恩姬娜的姐妹关注您的命运。她俯瞰穹顶，她俯瞰穹顶，她俯瞰穹顶。您因着命运见到了她，她尚没有见到您的命运。她将请您留意■■的事物。
